Region	Name	Period	Mean	Uncert	Uncert Comments	Type	Comments
North America	Fossil fuel CO2 emissions	2000-2009	1809	45	Andres et al. Tellus 2014 (calculated by R. Andres for the region considered - dependent countries uncertainty assumed)	source	CDIAC - Note King et al. 2014 BGD ; Note :  1796 TgC y-1 in SOCCR 2007 table II.2 pp. 61 for year 2002 (average of 3 different reported  estimates)
North America	∆C	2000-2009	-348	285	King et al. 2014 BGD	gain	"King et al. 2014 BGD ; Changes in terrritorial C stocks (  including ecosystem C pool and product pool changes ) """"atm flow method"""" ( Table 1 ) + burial"
North America	NEE	2000-2009	-418	288	King et al. 2014 BGD	sink	Mass balance : Change of territorial C stocks +  lateral exports
North America	Land use change	2000s	-130	60	From SOCCR reported uncertainty on each term converted from 95% CI to 1 sigma by dividing by two	sink	SOCCR 2007 Note :  LUC is defined by the sum of agriculuiral soil C balance + woody encroachement in SOCCR Table ES.I pp. 6
North America	NPP	2000-2009	-7461	1492	Assumed 20% (see Methods)	sink	Running et al. 2004 and Zhao et al. 2005 MOD17A3.005
North America	Soil Heterotrophic Respiration	2000-2009	6376	1526	Propagated	source	Mass balance - rivers outgassing Raymond et al.
North America	Fire	2000-2009	88	33	IAV	source	GFED4  only non deforestation and non agricultural fires Note Turner et al. GCB 2012 for year 2004 had 142 ± 45 (estimate not used)GFED4  only non deforestation and non agricultural fires Note Turner et al. GCB 2012 for year 2004 had 142 ± 45 (estimate not used)
North America	Wood product decay	2004	10	5	Assumed	source	SOCCR 2007 p91 (defined from landfills wood products emissions - includes emisions as CH4 and no data from Mexico)- Note : inconsistent with  production (SOCCR p110) -export - wood product storage change (King pers. Com - email 2013) = 128 - 61 - 68 = -1 Tg C ; Note a forest harvest removal of 165 TgC y-1  (Hayes et al. Table 6.6)SOCCR 2007 p91 (defined from landfills wood products emissions - includes emisions as CH4 and no data from Mexico)- Note : inconsistent with  production (SOCCR p110) -export - wood product storage change (King pers. Com - email 2013) = 128 - 61 - 68 = -1 Tg C ; Note a forest harvest removal of 165 TgC y-1  (Hayes et al. Table 6.6)
North America	Wood export	2004	-5	36	Assumed	lateral	Peters et al. BG 2012
North America	Crop product consumption	2004	182	36	Assumed	source	SOCCR 2007 p88 for crop production (217) minus SOCCR2007 crop trade net export (35)
North America	Crop export	2004	35	7	Assumed	lateral	SOCCR2007 crop trade net export (35  Note : Peters et al. BG 2012 give 38.4 Tg C yr-1
North America	Soil C export to rivers	undefined	113	26	Propagated	lateral	Mass balance =  outgas + export to ocean Note :  including report of  burial = 20 Tg yr-1 (  SOCCR 2007 p 36  )
North America	Bedrock C export to rivers	undefined	15	8	Propagated	lateral	
North America	Freshwater outgasing	2000s	219	110	Assumed	source	Raymond et al. 2014 Nature
North America	River export to ocean	undefined	55	24	Assumed	lateral	Calculated as C fluxes to estuaries - estuarine outgasing
South Asia	Fossil fuel CO2 emissions	2000-2009	448	29	Andres et al. Tellus 2014 (calculated by R. Andres for the region considered - dependent countries uncertainty assumed)	source	CDIAC
South Asia	∆C	2000-2009	-59	33	Half the range between two methods for ∆C based on VOD	gain	After Liu et al 2015 NCC recalculated in this study ;  biomass + soil
South Asia	NEE	2000-2009	-86	34	Propagated	source	Mass balance
South Asia	Land use change	2000-2009	-14	50	Patra et al. BG 2013	sink	Patra et al. BG 2013
South Asia	NPP	2000-2009	-1290	258	Assumed 20% (see Methods)	sink	Running et al. 2004 and Zhao et al. 2005 MOD17A3.005
South Asia	Soil Heterotrophic Respiration	2000-2009	622	272	Patra et al. BG 2013	source	Mass balance - rivers outgassing Raymond et al.
South Asia	Fire	2000-2009	9	3	From IAV	source	GFED4 only non deforestation and non agricultural fires ; Note : Patra et al. BG 2013 had 22 ± 14 TgC y-1
South Asia	Wood product decay	2004	32	16	Assumed	source	Peters (7,6 - 0,8 +2,8) x decay function from Earles
South Asia	Wood export	2004	-2	0,4	Assumed	lateral	Peters et al. BG 2012
South Asia	Crop product consumption	2004	213	43	Assumed	source	Peters et al. BG 2012
South Asia	Crop export	2004	-5	1	Assumed	lateral	Peters et al. BG 2012
South Asia	Soil C export to rivers	undefined	76	20	Propagated	lateral	mass balance (ignoring burial)
South Asia	Bedrock C export to rivers	undefined	1	0	Hartmann et al., 2009	lateral	Hartmann et al., 2009
South Asia	Freshwater outgasing	2000s	40	20	Assumed	source	Raymond et al. 2014 Nature
South Asia	River export to ocean	undefined	35	9	Propagated	lateral	Calculated as C fluxes to estuaries - estuarine outgasing
